"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"j0ma","Alpha Bistro","Chinese","4.6","(500+)","Shah Alam",""
"ik6n","吧生荣记蒸啦啦王Klang Yong Kee Steam LaLa @Setia Alam Foodcourt","Chicken","3.1","(22)","Shah Alam",""
"zzd9","Meejoys Superior Soup Rice Noodles (Food Hunter Setia Alam)","Noodles","3.6","(17)","Shah Alam",""
"ilpj","Goreng Hantu 一妈油炸鬼 @ Kopitiam 95 (Setia Alam)","Snacks","4","(100+)","Shah Alam",""
"oljg","Rojak Cendol","Malaysian","4.5","(5)","Shah Alam",""
"hgvw","Husin King Roti Canai","Malaysian","4.7","(16)","Shah Alam",""
"p1fh","Burger King (Petron Setia Alam)","Burgers","4.5","(3000+)","Shah Alam",""
"o3if","Snow White Chicken @Setia Alam Foodcourt","Fried Chicken","4.9","(31)","Shah Alam",""
"biwd","老滷妙记 @Setia Alam Foodcourt","Rice Dishes","4.4","(12)","Shah Alam",""
"s14e","Good Porridge Restaurant (Setia Alam)","Porridge","4.9","(500+)","Shah Alam",""
"nffa","Bahulu Warisan (Tesco setia alam)","Pancakes & Waffles","4.8","(100+)","Shah Alam",""
"o3dr","BERIANI & CO (Bariani House @ Lotus’S Setia Alam)","Briyani","4.3","(100+)","Shah Alam",""
"qgmn","FC08 Grill  (Lotus's Setia Alam)","Western","3.6","(2)","Shah Alam",""
"w370","Purbakala Kitchen","Asian","5","(3)","Shah Alam",""
"saux","Restoran Pakngah Sup Utara","Soups","4.7","(1000+)","Shah Alam",""
"ve6w","SoyaLah (Kota Kemuning)","Desserts","4.7","(52)","Shah Alam",""
"ja6z","Azack Pizza (Lotus Setia Alam)","Pizza","4.6","(11)","Shah Alam",""
"rtnk","Leng Leng kitchen","Chicken","2","(7)","Shah Alam",""
"sdzg","Ikhwan Cafe @ Bandar Bukit Raja","Roti Canai","4.5","(100+)","Shah Alam",""
"qj7v","Mr Churros Setia Alam","Malaysian","4.7","(88)","Shah Alam",""
"zrji","Roasted chicken & duck Bukit Raja @ Garden Food Point","Chinese","4.9","(48)","Shah Alam",""
"exn9","Xiaofanzong (Long Time No See Kopitiam)","Chinese","3.6","(2)","Shah Alam",""
"rwwv","NANA SIS BAKERY","Asian","3.7","(31)","Shah Alam",""
"i2zu","Selera Ikan Bakar Pak Din","Seafood","4.7","(500+)","Shah Alam",""
"shyd","Crispy Burger","Burgers","4.8","(66)","Shah Alam",""
"lvw7","碗里见麵 Noodle In The Bowl","Chinese","4.8","(100+)","Shah Alam",""
"bmoy","Anak Kampung @ Subang Bestari","Asian","4.7","(100+)","Shah Alam",""
"v9cm","S One One (Bandar Bukit Raja)","Chinese","4.9","(30)","Shah Alam",""
"h21s","Young Sanna Mee 养桑拿面(Kota Kemuning)","Chinese","4.9","(66)","Shah Alam",""
"gc3c","CHEF'S TAIPING KUEY TEOW","Kuey Teow","4.7","(70)","Shah Alam",""
