"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"iq0v","Chef Zhang Porridge","Chinese","5","(4)","Klang",""
"o7ze","Surya Cafe","Malaysian","4.5","(100+)","Klang",""
"mj6j","Restoran Chuan Bee","Rice Dishes","2.6","(21)","Klang",""
"o0zn","Red Chilli Restaurant","Asian","4.4","(1000+)","Klang",""
"b6rh","RESTORAN 2013","Chinese","4.3","(500+)","Klang",""
"lhwt","MH BURGER","Burgers","5","(6)","Klang",""
"tq5s","Choon May Dim Sum","Chinese","4.4","(100+)","Klang",""
"jg7y","Hong Xing Restaurant 宏兴小炒","Chinese","3.4","(17)","Klang",""
"sxop","Taste More Healthy Food","Seafood","4.7","(88)","Klang",""
"qzu3","MIXUE (Bayu Tinggi)","Malaysian","4.8","(1000+)","Klang",""
"q0st","Uncle Lan Corner (Lan Murtabak)","Roti Canai","4.7","(3000+)","Klang",""
"o6ih","Chee Guan Bak Kut Teh","Chinese","4.3","(500+)","Klang",""
"ywaq","Ayam Gepuk Munggil","Rice Dishes","4.2","(16)","Klang",""
"du0v","POH TIUN KOPITIAM部长茶餐室","Asian","4.5","(50)","Klang",""
"vl9q","Bliss Cake House","Bread","4.3","(100+)","Klang",""
"o1em","Ganesh Curry House","Indian","4.6","(1000+)","Klang",""
"dwdf","Home Town Seafood Restaurant","Asian","2.6","(27)","Klang",""
"pxhn","LAO MU LOU SI FEN 老母螺蛳粉","Beverages","4.4","(100)","Klang",""
"goad","Xin Long BahKuteh","Chinese","4.7","(88)","Klang",""
"emgq","Yee Home Taste Restaurant","Chinese","4.8","(43)","Klang",""
"z86p","Lee Heritage Yam Rice","Chinese","4.9","(100+)","Klang",""
"e4zz","KBR CAFE","Chicken","4.7","(18)","Klang",""
"uz5c","Kugan Delicious Food Corner","Asian","2.3","(13)","Klang",""
"uqwm","Bey Yee Tomyam","Fried Rice","3.9","(19)","Klang",""
"i7bi","RCD Rojak & Cendol Deen","Desserts","4.6","(2000+)","Klang",""
"lte1","Uncle Chin Biskut","Malaysian","4.7","(100+)","Klang",""
"ah88","Sip & Slurp Soup Stall","Asian","5","(1)","Klang",""
"tpt0","Home food stall","Indian","4.8","(8)","Klang",""
"tltt","Ayam gunting Di kubur futsal","Fried Chicken","3.7","(10)","Klang",""
"g9yf","Tasty Kuih Nyonya (Southern Park)","Asian","4.8","(100+)","Klang",""
"duta","CK FOODCOURT","Dim Sum ","4.8","(100+)","Klang",""
"rxig","Restoran Xiong Bee","Chinese","4.5","(72)","Klang",""
"ccw4","ASIA HUB FOODIE PARADISE PENYET & BAKSO","0 min","4.7","(3)","Klang",""
"i3x2","Restoran Sayang Mama","0 min","4.1","(5)","Klang",""
"vzmi","Sea King Sattisoru Asia Hub","Malaysian","4.7","(6)","Klang",""
"s5fs","Hot & Roll (Giant Bukit Tinggi)","Wraps","4.7","(500+)","Klang",""
"rbdc","FC8 Nasi Ayam Giant Bukit Tinggi","Chicken","4.6","(100+)","Klang",""
"l1kp","CUTE NASI LEMAK","Malaysian","3.8","(12)","Klang",""
"yqbm","Saidalicious","Rice Dishes","4.9","(46)","Klang",""
"dzs0","UNCLE WEI FRIED RICE","Malaysian","4.8","(11)","Klang",""
"t5ow","RESTORAN FARIDAH NASI AYAM","Chicken","4.8","(1000+)","Klang",""
"r8sv","Tian Lee Seafood Restaurant","Mee Goreng","4.3","(100+)","Klang",""
"lcrh","MAYFLOWER SEAFOOD RESTAURANT","Chinese","4.3","(100+)","Klang",""
"g6oo","Sixth Sense - Jalan Keruing","Western","2","(1)","Klang",""
