"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"thma","Sushi King (Evo Bangi)","Sushi","4.7","(100+)","Kajang",""
"ddg4","RICHIAMO COFFEE (Bandar Baru BangiI)","Coffee","4.7","(1000+)","Kajang",""
"wdzl","FOUR SEASON FOOD AVENUE","Asian","5","(1)","Kajang",""
"p7gx","Pizza San francisco (Bangi)","Pizza","4.6","(500+)","Kajang",""
"qzt1","Kekos Coffee Cafe","Asian","5","(2)","Kajang",""
"veas","Bask Bear Coffee (Ambank Bandar Baru Bangi)","Sandwiches","4.4","(500+)","Kajang",""
"i323","MINCOFFEE (Bangi)","Beverages","4.9","(15)","Kajang",""
"c5mg","BURGER SODAP N9 @ HENTIAN KAJANG","Burgers","4.9","(1000+)","Kajang",""
"jzrr","Teppanyaki (Bangi)","Japanese","4.9","(40)","Kajang",""
"d1lc","Subway (Jalan Reko)","Sandwiches","4.5","(1000+)","Kajang",""
"s2az","Restoran Nasi Mok Su Nab","Chicken","4.5","(5000+)","Kajang",""
"mxxj","ZUS Coffee (Bangi)","Coffee","4.8","(2000+)","Kajang",""
"txba","GOLD CHURROS","Cakes","5","(1)","Kajang",""
"a3qx","Halal Planet Coffee (Bangi)","Bread","4.8","(2000+)","Kajang",""
"n9ro","Wadihana Kitchen And Steak House (Bangi)","European","4.7","(4000+)","Kajang",""
"s0oz","D'muo kitchen","Fried Rice","4.4","(500+)","Kajang",""
"r0ew","Gong Cha (Shell Bangi)","Tea","4.8","(1000+)","Kajang",""
"rtte","Makkah & Al-Madinah Market (Bangi)","Shawarma","4.7","(100+)","Kajang",""
"n9zj","Restoran Amir Tomyam","Malaysian","4.5","(5000+)","Kajang",""
"o5sf","Dapur Mama Original Nasi Kukus (Bangi)","Nasi Kukus","4.7","(3000+)","Kajang",""
"p7ut","Fuel Shack (Shell Bangi)","Burgers","4.7","(2000+)","Kajang",""
"dahd","Nasi Lemak Pandan Daun Pisang Cputeh (Bangi Square)","Nasi Lemak","4.8","(100+)","Kajang",""
"v8ut","Wak's Satay (Bangi Square)","Satay","4.7","(1000+)","Kajang",""
"p1m4","Kubah Hijau Cafe","Malaysian","2.4","(22)","Kajang",""
"r4za","Restoran Kelisa Corner","Fried Rice","4.6","(1000+)","Kajang",""
"z5y7","Gabrielle Bangi","Cakes","4.5","(48)","Kajang",""
"r4wk","BBB Thai Tomyam","Fried Rice","4.3","(3000+)","Kajang",""
"manj","Sham Burger","Burgers","4.8","(500+)","Kajang",""
"s6ra","RBS Bistro (Bangi)","Roti Canai","4.6","(1000+)","Kajang",""
