"StoreId","CompleteStoreName","FoodType","AverageRating","Reviewers","City","Location"
"x2xq","NASI AYAM PANAS P11","Chicken","4.7","(1000+)","Putrajaya",""
"r2zm","SELERA WARIKH N9","Malaysian","4.6","(500+)","Putrajaya",""
"c84a","Tokwan Grill (Presint 11)","American","5","(2)","Putrajaya",""
"b9wb","NASI LEMAK PAK ABU PRESINT 11","Nasi Lemak","4.8","(1000+)","Putrajaya",""
"ib0x","Aris Burger","Burgers","4.7","(3)","Putrajaya",""
"abqi","WAFFLE LELEH Melinjau Presint 11","Malaysian","4.6","(34)","Putrajaya",""
"nosx","Ayam Gunting Global","Fast Food","3.6","(26)","Putrajaya",""
"dj2e","D'Ifti","Malaysian","4","(100+)","Putrajaya",""
"t0rc","Roti Jala Tasty Mayo Putrajaya","Nasi Kukus","4.5","(100+)","Putrajaya",""
"ezx8","Abe Roti Canai @ Presint 11","Asian","4.6","(100+)","Putrajaya",""
"c8vq","RSMY PUTRAJAYA BEST CHEESE NAAN","Indian","4.7","(100+)","Putrajaya",""
"r8eh","Linda Tom Yam","Fried Rice","4.6","(1000+)","Putrajaya",""
"a5li","Mat Rock Ayam Goreng Kunyit (Presint 14, Putrajaya)","Chicken","4.6","(1000+)","Putrajaya",""
"wpfv","Thai Tom Yam Kampung @ Presint 11","Asian","4.8","(23)","Putrajaya",""
"pfzo","Selera pantai timur","Fried Rice","2","(2)","Putrajaya",""
"qt0w","KakChik Ayam Cincang","Malaysian","4.9","(7)","Putrajaya",""
"f7jh","Restoran Soraya","Fried Rice","4.7","(4000+)","Putrajaya",""
"imra","The Wok Master (Presint 11)","Asian","3.8","(4)","Putrajaya",""
"vdio","Beriani Ambok Putrajaya","Briyani","4.7","(95)","Putrajaya",""
"qzmz","Warung Soraya","Malaysian","4.6","(2000+)","Putrajaya",""
"o9ms","Apam Balik Warisan","Pancakes & Waffles","4.8","(3000+)","Putrajaya",""
"i5xa","POKMIE BURGER & ROTI JOHN CHEESE","Burgers","4.7","(1000+)","Putrajaya",""
"me6t","TeaBreak@Putrajaya","Beverages","4.3","(2)","Putrajaya",""
"k1es","Kiosk Pastry Putrajaya","Pancakes & Waffles","4.8","(500+)","Putrajaya",""
"zj34","Kedai Makan Ummi","Malaysian","4.4","(60)","Putrajaya",""
"abs7","Ayam Gepuk Menangis","Malaysian","3.8","(6)","Putrajaya",""
"cjup","Cempaka Burger","Burgers","4.8","(15)","Putrajaya",""
"s8cx","RN3 SELERA UTARA","Rice Dishes","4.7","(2000+)","Putrajaya",""
