"year","month","FoodType","averagerating","totalreview"
"2024","01",Malaysian,3.8,7105
"2024","01",Mediterranean,3.6,7
"2024","01",Mee Goreng,4.0,9
"2024","01",Middle Eastern,3.7,347
"2024","01",Nasi Kandar,3.3,376
"2024","01",Nasi Kerabu,4.0,238
"2024","01",Nasi Kukus,3.9,357
"2024","01",Nasi Lemak,4.0,984
"2024","01",Non-Halal,5.0,1
"2024","01",Noodles,3.6,442
"2024","01",Pancakes & Waffles,4.2,163
"2024","01",Pasta,3.7,258
"2024","01",Pisang Goreng,4.1,48
"2024","01",Pizza,3.3,159
"2024","01",Poke Bowl ,2.7,40
"2024","01",Porridge,3.7,107
"2024","01",Ramen,3.8,10
"2024","01",Rice Dishes,3.6,409
"2024","01",Roti Canai,3.5,1634
"2024","01",Salads,4.1,19
"2024","01",Sandwiches,3.5,257
"2024","01",Satay,3.8,143
"2024","01",Seafood,3.9,335
"2024","01",Shawarma,4.1,209
"2024","01",Snacks,4.0,20
"2024","01",Soups,3.8,244
"2024","01",Sushi,3.7,45
"2024","01",Takoyaki,3.6,104
"2024","01",Thai,3.6,668
"2024","01",Tom Yum,3.7,52
"2024","01",Vegan,1.0,1
"2024","01",Vegetarian,4.0,129
"2024","01",Western,3.9,302
"2024","01",Wraps,3.8,22
"2024","02",American,4.8,4
"2024","02",Asian,3.7,2489
"2024","02",Ayam Penyet,3.7,365
"2024","02",Beverages,4.0,288
"2024","02",Bread,3.8,73
"2024","02",Briyani,3.9,89
"2024","02",Bubble Tea,3.5,39
"2024","02",Burgers,4.2,628
"2024","02",Cakes,4.0,112
"2024","02",Chicken,3.6,1839
"2024","02",Chicken Chop,3.9,85
"2024","02",Chicken Rice,3.6,84
"2024","02",Chinese,3.4,644
"2024","02",Curry,3.7,27
"2024","02",Desserts,3.9,241
"2024","02",Dim Sum ,3.7,11
"2024","02",Dumpling,3.6,14
"2024","02",European,3.9,28
"2024","02",Fast Food,3.2,341
"2024","02",Fried Chicken,3.2,286
"2024","02",Fried Rice,3.7,1687
"2024","02",Fries,2.8,9
"2024","02",Grill,2.5,6
"2024","02",Halal,3.5,6
"2024","02",Healthy,3.5,54
"2024","02",Ice Cream,4.0,2
"2024","02",Indian,3.2,663
"2024","02",International,3.4,60
"2024","02",Italian,3.5,32
"2024","02",Japanese,3.4,110
"2024","02",Juice,3.9,30
"2024","02",Korean,3.6,138
"2024","02",Kuey Teow,3.8,51
"2024","02",Laksa,3.4,118
"2024","02",Malaysian,3.7,5642
"2024","02",Mediterranean,3.7,6
"2024","02",Middle Eastern,3.7,288
"2024","02",Nasi Kandar,3.4,271
"2024","02",Nasi Kerabu,4.0,164
"2024","02",Nasi Kukus,3.8,267
"2024","02",Nasi Lemak,4.0,706
"2024","02",Noodles,3.6,280
"2024","02",Pancakes & Waffles,4.0,108
"2024","02",Pasta,3.6,193
